2
31 27
30 18 5428
0 13 5997
26 17 5606
13 8 5433
8 1 5382
13 22 5983
22 24 5137
9 16 5678
26 14 5952
1 27 5881
21 8 5072
15 18 5237
4 2 5073
15 3 5152
8 16 5720
18 17 5633
23 30 5202
16 26 5462
4 25 5597
27 8 5903
2 14 5544
6 27 5807
1 26 5062
19 25 5985
24 24 5844
29 21 5214
20 6 5742
35 28
34 27 5452
19 11 5369
14 14 5763
1 9 5872
33 13 5117
9 28 5358
29 0 5615
30 6 5732
28 14 5814
1 25 5223
25 11 5972
26 30 5341
4 10 5148
20 27 5915
1 17 5069
2 27 5995
7 12 5036
22 23 5821
26 21 5574
8 18 5055
21 16 5348
3 27 5920
10 1 5078
20 34 5386
15 30 5160
31 11 5962
2 2 5808
32 29 5640
